,id,sentenceId2,x,y
0,014,03,0,4
1,014,03,5,1
2,014,03,10,0
3,014,03,13,1
4,014,03,17,0
5,014,03,22,2
6,014,03,28,6
7,014,03,22,9
8,014,03,16,10
9,014,03,12,10
10,014,03,9,10
11,014,03,5,8
12,014,03,2,5
13,014,03,9,4
14,014,03,13,4
15,014,03,16,4
16,014,03,25,6
17,014,03,16,5
18,014,03,13,5
19,014,03,9,4
20,001,03,0,4
21,001,03,5,2
22,001,03,10,0
23,001,03,13,1
24,001,03,16,0
25,001,03,22,3
26,001,03,28,5
27,001,03,22,9
28,001,03,17,11
29,001,03,13,11
30,001,03,9,10
31,001,03,5,8
32,001,03,2,5
33,001,03,9,5
34,001,03,13,5
35,001,03,16,5
36,001,03,25,5
37,001,03,16,5
38,001,03,13,5
39,001,03,9,5
40,003,03,0,5
41,003,03,6,2
42,003,03,10,0
43,003,03,14,2
44,003,03,18,1
45,003,03,23,3
46,003,03,29,5
47,003,03,22,9
48,003,03,17,10
49,003,03,13,10
50,003,03,9,10
51,003,03,5,8
52,003,03,3,5
53,003,03,10,4
54,003,03,14,5
55,003,03,17,5
56,003,03,26,5
57,003,03,17,5
58,003,03,13,6
59,003,03,10,5
60,002,03,0,5
61,002,03,5,2
62,002,03,9,0
63,002,03,13,1
64,002,03,16,1
65,002,03,22,3
66,002,03,28,5
67,002,03,21,9
68,002,03,16,10
69,002,03,12,10
70,002,03,8,10
71,002,03,4,8
72,002,03,2,5
73,002,03,9,4
74,002,03,12,5
75,002,03,16,4
76,002,03,25,5
77,002,03,16,5
78,002,03,12,6
79,002,03,9,5
80,012,03,0,6
81,012,03,5,2
82,012,03,10,0
83,012,03,13,2
84,012,03,17,1
85,012,03,23,3
86,012,03,28,6
87,012,03,23,11
88,012,03,17,13
89,012,03,13,13
90,012,03,9,13
91,012,03,4,11
92,012,03,2,6
93,012,03,10,5
94,012,03,13,5
95,012,03,17,5
96,012,03,26,6
97,012,03,17,7
98,012,03,13,8
99,012,03,9,7
100,006,03,0,9
101,006,03,4,3
102,006,03,10,0
103,006,03,15,1
104,006,03,20,0
105,006,03,28,3
106,006,03,34,10
107,006,03,28,20
108,006,03,21,24
109,006,03,15,24
110,006,03,10,24
111,006,03,3,19
112,006,03,2,10
113,006,03,10,6
114,006,03,15,6
115,006,03,20,6
116,006,03,32,10
117,006,03,21,16
118,006,03,15,17
119,006,03,10,16
120,007,03,0,8
121,007,03,6,3
122,007,03,12,0
123,007,03,16,1
124,007,03,22,0
125,007,03,29,3
126,007,03,34,8
127,007,03,29,15
128,007,03,22,18
129,007,03,16,18
130,007,03,11,17
131,007,03,5,15
132,007,03,2,8
133,007,03,12,5
134,007,03,16,5
135,007,03,22,5
136,007,03,32,8
137,007,03,22,11
138,007,03,17,11
139,007,03,12,11
140,013,03,0,4
141,013,03,5,1
142,013,03,10,0
143,013,03,13,1
144,013,03,17,0
145,013,03,22,2
146,013,03,27,5
147,013,03,22,9
148,013,03,16,10
149,013,03,13,10
150,013,03,9,10
151,013,03,5,8
152,013,03,2,5
153,013,03,10,4
154,013,03,13,4
155,013,03,17,4
156,013,03,25,5
157,013,03,16,5
158,013,03,13,5
159,013,03,10,4
160,005,03,0,8
161,005,03,5,3
162,005,03,10,0
163,005,03,14,1
164,005,03,19,0
165,005,03,25,3
166,005,03,30,8
167,005,03,25,15
168,005,03,19,18
169,005,03,14,18
170,005,03,10,17
171,005,03,4,14
172,005,03,3,8
173,005,03,10,6
174,005,03,14,6
175,005,03,19,6
176,005,03,28,8
177,005,03,19,10
178,005,03,14,10
179,005,03,10,10
180,011,03,0,5
181,011,03,5,2
182,011,03,9,0
183,011,03,13,1
184,011,03,17,1
185,011,03,22,3
186,011,03,28,5
187,011,03,22,10
188,011,03,17,12
189,011,03,13,12
190,011,03,9,12
191,011,03,4,10
192,011,03,2,5
193,011,03,9,5
194,011,03,12,5
195,011,03,17,5
196,011,03,25,6
197,011,03,17,6
198,011,03,13,7
199,011,03,9,6
200,010,03,0,6
201,010,03,4,2
202,010,03,8,0
203,010,03,11,1
204,010,03,15,1
205,010,03,21,3
206,010,03,26,7
207,010,03,21,12
208,010,03,15,14
209,010,03,11,14
210,010,03,7,13
